code,name,Marcap,current_price,1W,1M,3M,6M,1Y,2Y,YTD,3Y,4Y,sector_name
475150,SK이터닉스,2745800522400,80600,55.00000000000001,113.79310344827587,47.88990825688074,303.2016008004002,251.19825708061003,405.2974735126324,289.3719806763285,,,에너지장비및서비스
322000,HD현대에너지솔루션,1920800000000,171500,55.76748410535877,37.419871794871796,-10.209424083769633,206.25,263.3474576271186,601.4314928425358,213.52833638025595,365.4002713704206,447.9233226837061,에너지장비및서비스
005090,SGC에너지,788190515100,54700,42.077922077922075,24.459613196814562,-13.722397476340694,158.0188679245283,107.59013282732448,104.10447761194031,149.20273348519362,117.92828685258965,60.882352941176464,에너지장비및서비스
100090,SK오션플랜트,1078372506540,17260,29.38530734632684,20.6993006993007,-25.442764578833692,-10.197710718002082,-14.765432098765432,35.478806907378335,-14.765432098765432,-22.426966292134832,-16.009732360097324,에너지장비및서비스
095910,에스에너지,33753702645,905,17.380025940337223,-11.707317073170733,-52.242744063324544,-34.46777697320782,-36.5802382620883,-41.08072916666667,-2.373247033441208,-51.29171151776103,-73.31957547169812,에너지장비및서비스
282720,금양그린파워,91865810000,7580,13.813813813813812,-1.8134715025906734,-50.45751633986928,-28.826291079812204,-24.124124124124123,-39.69769291964996,-32.62222222222223,-49.70139349701393,,에너지장비및서비스
389260,대명에너지,297052668500,16580,24.474474474474476,30.551181102362207,-28.225108225108226,-5.202973127501429,-35.10763209393347,32.42811501597444,-12.736842105263158,-34.07554671968191,19.71119133574007,에너지장비및서비스
336260,두산퓨얼셀,3009436709700,45950,3.1425364758698096,-20.363951473136915,-9.009900990099009,20.603674540682416,106.98198198198199,137.71339886187272,59.27209705372617,70.18518518518519,53.166666666666664,에너지장비및서비스
098070,한텍,308611662750,27750,16.842105263157894,1.2773722627737227,-40.32258064516129,-25.3028263795424,-22.268907563025213,,-10.048622366288493,,,에너지장비및서비스
112610,씨에스윈드,1878736003650,44550,11.794228356336262,4.946996466431095,-39.13934426229508,9.191176470588236,-11.077844311377245,-5.614406779661017,7.091346153846153,-44.3125,-6.210526315789474,에너지장비및서비스
044490,태웅,574211834700,28700,8.097928436911488,-5.436573311367381,-46.15384615384615,-7.568438003220612,-24.96732026143791,79.71195992485912,11.45631067961165,66.28041714947857,199.27007299270073,에너지장비및서비스
100840,SNT에너지,574925767400,27800,12.323232323232324,-5.1194539249146755,-51.736111111111114,-30.32581453634085,-26.649076517150394,137.60683760683762,-24.043715846994534,263.01906503003397,378.7325641467195,에너지장비및서비스
