sector_name,stock_count,total_marcap,1W,1M,3M,6M,1Y,2Y,3Y,4Y,YTD
우주항공과국방,32,117748350484712,12.09948472152819,-13.533824285882584,-32.50624216993511,-7.4661394112945345,16.556109905970605,236.32806736486958,589.33370597757,893.7032740252029,20.818226914607266
생물공학,57,43307465763358,15.135421517386721,-6.638865111189359,-19.508885488319347,-23.683895083515434,-9.245382763852815,97.2114043113984,437.1256623708409,454.34514776691447,-28.834408779233097
에너지장비및서비스,32,17736841608438,13.518967015348807,-9.74180427116752,-38.90739742617902,9.946578880570414,28.841592256486692,128.83792970502145,86.28295311084388,63.933717727906426,31.074873738681134
건설,76,43951270631998,8.48144834847904,-6.413067362066236,-27.63471602295923,35.71631929962695,81.63199452481658,136.0696350532139,119.6900964478215,115.03579397542927,76.72304085731446
전기장비,35,113173205632575,8.035492565869111,-20.563636962194582,-43.64144738350472,25.267445799598878,122.07553702953354,399.9945609620208,866.9007028283629,2122.629730631985,55.27745566388791
기계,103,97723328718796,11.41948977410516,-9.135907571770975,-35.669715690865736,-18.27012628943861,39.89953960594622,259.46367570831404,251.7863298414374,396.9427834698373,14.360502962141616
IT서비스,116,56010842437770,9.497146666412014,-0.038317950300354814,-3.779113505208117,-2.3329720998552546,40.3471830623278,73.40624423486153,65.28496124997058,88.85209583196473,9.419378079140632
화장품,63,43154229925937,8.571742196196375,4.289575103246541,-4.227694562583544,11.418406000713293,30.48792199434157,228.54873236902728,23.506758830268375,51.41113629163076,29.658983830577757
화학,121,87006106897602,7.63974328749471,-7.64655320019745,-38.10755705397389,-20.712929436017188,14.94931864822417,-1.1878318399623424,-31.84756331141427,23.754518606371207,-7.7316560542160815
제약,171,182157171737775,2.3314236797604293,-1.1426157943125288,-9.549363260129276,-19.69192838852615,0.9423512664636742,7.956890788109711,31.152154726158617,21.774622056248386,-13.054567226097046
조선,29,158172103276400,5.6032639170901035,-10.279817912333177,-28.25212896374246,-17.146070240394792,6.036577587711489,122.86804365041638,198.90314705094067,305.3817643547904,-9.022694575619562
철강,55,36860457145274,4.680697628364495,-1.517798891673582,-36.12778372480521,-15.359539125606284,2.1202797440369126,-6.616308222247577,-36.39059953371088,23.127653130215556,-2.1812657708984897
게임엔터테인먼트,34,29618803484826,3.673166693750382,-0.7417659821910663,-14.669959781283263,-6.7516210362127005,-15.914541843800764,-12.485516337411973,4.08647716961888,-26.535643370819184,-3.766698045344586
식품,90,40400271854564,2.1763879247134468,2.53460128241009,-8.92485860161304,-6.583367689057911,-4.088625253867641,35.10347374439615,212.54022661916576,244.47941583798868,-3.434895617092851
항공사,8,19967530902468,5.942268437737371,-9.836578184659809,5.346186427055864,2.7055054529690685,6.177198416738708,36.68554680340441,67.92955661517195,30.911590104615108,3.6608152611914533
은행,11,207739198854290,1.9039547131784316,-0.9452697086042421,1.7973701084695108,9.154046854287076,43.2485343511127,89.22187622807779,186.4566401104127,190.98365849336673,26.093764807519854
반도체와반도체장비,170,2857138738755611,5.7951943963182515,-27.925256819641962,-7.661256106847222,64.56549713080463,358.0568298380652,481.0477835751187,707.5908491557711,856.2850060019836,117.30848844417521
자동차,12,142611017001572,6.751434573192502,-17.500680633607693,-24.07319519518403,-19.539663558280136,57.17712349389315,41.469815725061544,84.25985385802194,85.08624173992064,18.63034916781046
